Year,Week Reported,County,State,Positive Cases
2012,45,Sacramento,California,3
2012,52,Sacramento,California,1
2012,34,San Bernardino,California,1
2012,35,San Bernardino,California,1
2012,36,San Bernardino,California,1
2012,38,San Bernardino,California,4
2012,40,San Bernardino,California,2
2012,43,San Bernardino,California,8
2012,44,San Bernardino,California,7
2012,45,San Bernardino,California,1
2012,48,San Bernardino,California,3
2012,49,San Bernardino,California,2
2012,51,San Bernardino,California,2
2012,40,San Diego,California,1
2012,39,San Francisco,California,1
2012,32,San Joaquin,California,1
2012,33,San Joaquin,California,1
2012,37,San Joaquin,California,2
2012,38,San Joaquin,California,2
2012,39,San Joaquin,California,1
2012,40,San Joaquin,California,2
2012,44,San Joaquin,California,1
2012,48,San Joaquin,California,1
2012,49,San Joaquin,California,2
2012,42,Shasta,California,1
2012,37,Solano,California,1
2012,44,Solano,California,1
2012,28,Stanislaus,California,1
2012,30,Stanislaus,California,1
2012,31,Stanislaus,California,2
2012,33,Stanislaus,California,2
2012,34,Stanislaus,California,4
2012,35,Stanislaus,California,2
2012,38,Stanislaus,California,1
2012,39,Stanislaus,California,4
2012,40,Stanislaus,California,4
2012,42,Stanislaus,California,1
2012,44,Stanislaus,California,1
2012,45,Stanislaus,California,1
2012,46,Stanislaus,California,1
2012,53,Stanislaus,California,1
2012,34,Sutter,California,1
2012,37,Sutter,California,4
2012,38,Sutter,California,1
2012,43,Sutter,California,2
2012,37,Tehama,California,1
2012,42,Tehama,California,1
2012,44,Tehama,California,2
2012,34,Tulare,California,2
2012,36,Tulare,California,1
2012,41,Tulare,California,4
2012,33,Ventura,California,1
2012,36,Ventura,California,1
2012,41,Ventura,California,2
2012,51,Ventura,California,3
2012,36,Yolo,California,3
2012,38,Yolo,California,1
2012,40,Yolo,California,1
2012,46,Yolo,California,1
2012,52,Yolo,California,4
2012,38,Yuba,California,2
2012,43,Yuba,California,1
2012,44,Yuba,California,1
2013,32,Butte,California,1
2013,34,Butte,California,2
2013,35,Butte,California,5
2013,37,Butte,California,1
2013,38,Butte,California,8
2013,39,Butte,California,2
2013,40,Butte,California,1
2013,41,Butte,California,1
2013,42,Butte,California,1
2013,43,Butte,California,1
2013,53,Butte,California,1
2013,33,Colusa,California,1
2013,38,Colusa,California,1
2013,32,Contra Costa,California,1
2013,34,Contra Costa,California,1
2013,39,Contra Costa,California,1
2013,42,Contra Costa,California,1
2013,45,Contra Costa,California,1
2013,35,El Dorado,California,1
2013,32,Fresno,California,2
2013,36,Fresno,California,1
2013,41,Fresno,California,2
2013,44,Fresno,California,1
2013,53,Fresno,California,1
2013,30,Glenn,California,1
2013,31,Glenn,California,1
2013,33,Glenn,California,1
2013,35,Glenn,California,1
2013,36,Glenn,California,1
2013,38,Glenn,California,1
2013,39,Glenn,California,1
2013,42,Glenn,California,1
2013,45,Glenn,California,1
2013,33,Kern,California,2
2013,34,Kern,California,2
2013,35,Kern,California,2
2013,36,Kern,California,2
2013,37,Kern,California,1
2013,39,Kern,California,1
2013,40,Kern,California,2
2013,41,Kern,California,4
2013,42,Kern,California,2
2013,43,Kern,California,2
